left.context	keyword	right.context	annotator	annotator2
to him... He just asks for a little time to find one	real good	one and starts searching through the stack of records. Miss Maybell whispers in	1	
like, guys in helicopters and stuff? It's that one. It's	really good	, but, yeah. Western. HELEN Huh. (Considers.)	0	
was Perry, from the bunk next to mine. All the guys had been	real good	about coming to see me in the hospital. '' I know it does	0	
Colonel Rand. In a month or so, it's going to be a	really good	thing. '' '' I know about the merger. I am buying,	1	
, who grew vegetables for sale in Chinatown.  #  In the 1920s, the	Real Good	Construction Company bought farms south of Queens Boulevard and built houses and apartment buildings	NA	
tone. '' You guys had a fight? '' '' I fucked up	real bad	, sis. '' Then between sobs and brief pauses to tell the cook to	0	
Commons.;' For myself, I greatly regret that what seems to me a	really good	cause should be brought into ridicule and discredit by such absurdities. The death	1	
, and we wish to be sure that your hospitable offer will be for her	real good	. '' '' Of cou'se, '' said Mrs. Lander. '' I should	NA	
. I just knew he wouldn't leave me. The first night was	really bad	. When I was little I'd slept in a big basket with my mother	0	
it bleating nervously and smelling it doubtfully. I stop occasionally to give her a	real good	reassuring sniff of it and on we go again. When she is thus	1	
. '' He brings us luck, and he brings us snow. In a	really good	year, you can sit on his head -- and this year we're	1	
King pushes him away, still holding him, and looks him up and down	real good	. Slowly, he turns to the Makeup Man, and: &nbsp; KINGWhat	0	
shirt) RAFE You were kidding. (DAISY nods) You've got a	real good	sense of humour. p. 4 DAISY It's an act, isn't	1	
our parting. And Bob would have stuck by his guns. Bob is a	really good	sort. If I hadn't been able to take care of myself;	1	
is a great luxury, and they can't get enough of it that's	really good	. And it's the same way, all summer long, at Lake	0	
. And so, things were at a stalemate. There hadn't been a	really good	skirmish for nearly five years. War was hardly anything but a memory,	1	
play for some college? '' He laughed. '' Because I got me a	real good	job now. I work at the Minit-Wash, soaping down cars, you	1	
the Revolution and the Black Panthers. Or just drop out and do lots of	really good	drugs... Who's that? Who's that water skiing?	1	
. You're not even going to hit balls in it. So it felt	really good	to come out on top. Did it mean more to win at home	0	
that watch from Switzerland year Hattie and I was married, and I felt	real bad	when I lost it. Hunted everywhere for it, and f must have combed	0	
Omensetter hesitated. I couldn't say. Some time. I'm not a	real good	judge. He fiddled with the lamp, reducing the light. Who have	1	
of the revived art of building. Yet Well) y Pugin has left nothing	really good	in architecture behind him. Downing was not Pugin, nor, as an	0	
, on the part of such men, of putting a complete barrier between the	really good	portion of the community and the ignorant and weak, who most need their	1	
if things kept up the way they were going he could look forward to a	really good	year ahead. And in fact his hopes were justified. The following year	1	
change of scenery.  #  '' First of all, I think it is a	really good	district as it is, '' Woodley said. '' But, honestly,	1	
. Jack broke in: '' Of course you will. You'll have a	real good	time, too. '' '' And you'll come and see me?	1	
a mistress. But then he wouldn't stand a chance at snapping up anything	really good	, what with all the Allies in Naples. The treatment Momma got at	0	
I go on the beam, the girls clanking heads as if in a	really bad	Laurel and Hardy spoof. But soon a more dire collision has occurred.  #	1	
dark red, the animal is too old; and no keeping will make it	really good	eating. Four years is considered the best age for prime mutton. VEAL	0	
am wel and so is Maggie. Frank is agoin to make me a sled -- a	real good	one. I shal cal it the egle. I hope we shal soon	1	
n't like the sound of those last words. '' Well, its not	really bad	had news but I have to leave (: astir Beach today in an hour	0	
this. JACKIE Even Granny Vi let me down. She hurt my feelings	really bad	. CAROLINE How's that? p. 30 JACKIE I did everything I could for	0	
Tripp Oh, I guess not. Mr. Bradbury won't; he's a	real good	feller. Keene. The City Lawyer, Napier Keene But the deacon?	1	
don't think so. I think that when the prosthetics and implant makers get	really good	at what they're doing we may get into a new field I call	0	
accusing. He wouldn't steal anything. I've raised him to be a	real good	boy. Churchgoing. An Eagle Scout. Did you boys get anything?	1	
better to say we were just married. The people in Ashland City felt	real bad	for me when I got shot, but as time went on and their sons	0	
what youth refuses to understand. I've lived long enough to doubt whether any	real good	ever came of sacrificing beautiful facts to even more beautiful theories. Do I	NA	
, and presto! '' She finishes tying his tie. You look good.	Really good	. METZNER touching tie I like this fabric. What's the fabric on	0	
New York's Lower East Side. This record made it all seem like a	really good	idea. '' Zombie's new CD, Educated Horses, is out March	1	
the whole of the line. I took a walk. There's been a	real good	horse trail worked into the ground up there, ain't there? And	1	
. I'm goin' down there for a rest. Get my leg in	real good	shape. Then when I come back we'll see the fur fly.	1	
on and see what else he can do. '' '' That's a	really bad	idea, '' Lockhart responded. Podesta went on to note that Congress had also	1	
things a dealer has to buy, at times, in order to get something	really good	. Many of them had been partially dismantled for parts. When he was	0	
justification, as before it, /z/ man remains completely incapable of perform ing any	really good	work, or of gaining any real merit before God. Thus Protestantism would	1	
Dad and I were in the house alone the whole morning. He had a	real good	mood. He made me a scrambled egg in the Special Daddy Way and	1	
n't think that there's value in all this other stuff. I have a	really good	friend who is Methodist, and he and I are just always amazed at	1	
it with all the energy and enthusiasm she possessed; partly because she had a	really good	voice and enjoyed the song, and partly because an audience appreciates singing more	1	
vodka in the kitchen with Indrani's teaching assistant. '' Seriously, you look	really good	, not that you don't always look good, '' said Indrani.	0	
even know you, '' he said to them.  #  '' They're	really bad	, '' one of them said, '' your nails. ''  #  '' But	0	
he can do some, some amazing things, which is why he needs a	real good	guide, to help him along his next step. '' Whatever it is	1	
to the conversation, as it is very improving to young girls to be in	really good	society. You will have a music teacher, and practice on the upright	1	
was running by. You know this is real clear. I remember this part	real good	. He was running by, black shorts and no shirt. '' He	0	
BURN HISTORY AND FAMILY SKIN CANCER HISTORY If you've had a handful of	really bad	sunburns in your past, or someone in your family has had skin cancer,	1	
. The poor beggar would try running away from them, and he had a	real good	trot on these occasions. One other mount of that summer was a chestnut	1	
one side. The rest on' em, I see, and it wuz	real good	in' em, drinked through' em, as we used to at	NA	
laughter. Your '' 1776 and All That, '' by Helen Bryant, is	really good	. I'm afraid I must admit she has successfully recorded '' The English	0	
take their training program, and then they got a place for me, a	real good	one, in the city. ''  #  She looked at Orvil. She	1	
'' '' Yeah. He don't talk much. He said you's a	real good	lawyer and all, but he found somebody else from Memphis. '' ''	1	
say '' God '' in that way.  #  I told her I knew a	really good	bike ride, if she had time. She did, and we headed	1	
for a hearing of his case was near at hand. Mattie knew nothing	really bad	of Mr. Gusher. He had seemed to her one of those uncertain characters who	0	
maybe Williams. In fact, this seems to be true of most of the	real good	hitters. You can't tease them into chasing anything. On that third	1	
all the way -- and so is that okay? To me that is	really bad	judgment. ''  #  Bill Bell, 42, an Oakton Republican who works for	1	
coy smile. '' None of your business. Anyway, you've been doing	really good	work lately. I had my doubts at first, but you've grown	1	
they was just supposed to keep the little-uns together. The kids all stunk	real bad	, they didn't have any clean clothes, and they'd pissed and crapped	0	
. They really loathe it, the very idea of it revolts them. A	really good	hydrophobe has to be trained on dehydratedp153water from birth. I mean, that	1	
on for makin' mistakes. (beat) And if you make a	really bad	mistake, then you got to deal with the Man... and he	1	
but at any rate better than I am. But of course I am not	really good	at all. After all, I just amuse myself. '' Charles returned	0	
be, '' Dottie says. '' So, I went in with a	really bad	attitude. '' Photograph // And, it showed. Her temper became a legend	1	
) ranchin'? (Archie nods yes.) THE OUTLAW And he was	real good	at the stuff you had to be a real sunuvabitch to do. Lie	0	
... maybe even a posse!... An' that'd be bad,	real bad	! Hall doesn't like the situation and speaks with a sincerety born of fear	0	
? ''  #  '' Shit yeah, I got some gooooood shit, girl,	real good	, '' she said. '' Uh-huh. ''  #  '' Okay, I	0	
--  in the gym, in the sack, on the job.  #  The	really good	news: The cure takes just 8 hours.  #  It's about what	1	
and squats - to work your quads, glutes and hamstrings. But for a	really good	boost (to your butt. especially) you need to add in a	1	
During the four weeks that I spent altogether on the hill I only had four	really good	nights, and these were always rainy, and the best of them soaking	1	
man, heavily built, and not looking, to my gymnasium-trained eye, in	really good	condition for athletic work. I perhaps felt a little prejudiced against him from	1	
Do two sets of 10 reps.  #   #  And Lois, here's the	really good	news: If you can get the boys to faithfully do this routine five	1	
for men who are primary parents and housekeepers and (who) may not feel	real good	about their lives. '' '' It' s a song for men who	0	
reflectors fastened on locomotives. All that you heard was excessively ill-bred, and in	really good	society ill-breeding is more iniquitous than ill-nature; but, however annoying, it	1	
''' closed to fishing'? ''  #  '' It means the fishing's	real good	, '' Retch said. '' Particularly since Sneed showed up. ''  #	0	
neighbor were the parents of the puppies. The owner's sickness was a	really bad	one. The reality is that the state will do more for the dogs than	1	
like a chemist (demure white coat, a fairly simple hairstyle, a few	really good	pens in your pocket) or a psychiatrist (conservative skirt -- light plaid	1	
? Can Eugene lead the band? I miss all the people, *All the	really good	peopleAre the crowds holding upAre the canaries well, They used to get sicker	1	
good time, a really good time, and Amy said she had had a	really good	time too. '' You said you were hoping I'd drop by.	1	
whether or not H,,, really involves cowardice, whether cowardice is	really bad	, or whether perhaps the two alternatives are equally good, and so on.	0	
to make myself feel better and not worse.  #  Brett: Last year was	really good	for us in terms of the band thing. We got a lot of	0	
Moulin.  #  '' I apologize for barging in, but we have a	really bad	feeling Andy could have fallen overboard, '' Crowther says impatiently, standing at the	1	
. Fortunately we need not be obliged to make such a choice, because a	really good	system of rural education will include an ample amount of training for the business	1	
way to go or how to reach for it. That's what a ''	really good	plan '' is all about. // I'm sure it's no surprise	1	
his guidance through the day, and you will have it. There is no	real good	or true happiness that does not first originate in duty to our Maker.	NA	NA
kinda hate to move away from Terry,' cause me and him's been	real good	buddies. He's mighty nigh as bad a man as I is,	1	
'' You write that old book now, boy. You write that old book	real good	and we'll get you some quail and some brown gravy and some biscuits	0	
with our guys for good stuff.... He could be really,	really good	. He could be a strikeout guy.  #  Q: Is Bruce Chen	0	
bout an hour ago. He's real strung out, hurtin' |	real bad	. He's been trying to feed that arm of his all day, but	0	
to do things. 76 A Third Girl &nbsp; THIRD GIRLI wanted a flute	real bad	, and my cousin knew this guy and was going to get one for me	0	
'' '' I'll have Richard telegraph. Of course, if he's	really bad	, you'll have to go, but we do want you to stay on	0	
the Africans in her employment, said to me, '' We are not	really bad	, you know. Take me and my husband? we treat our Natives very	0	
'll make as good a trade for you's he can. He's a	real good	friend to all of you, Alessandro, when he's himself. ''	1	
'' Hawkes said. '' But don't try it unless you hate yourself	real bad	. Johnny can testify to that. '' Alan frowned. '' What does the	0	
the subject, for the lack of heat and moisture essential to the growth of	really good	tobacco would result in the production of leaf of mediocre quality only. Two-thirds	1	
hesitated with a bottle in her hand. '' Mistake might damage your career	real bad	, '' Hilfy said, hand still on the gunbutt. '' I didn't	0	
NAVAL OFFICERYou can't leave decent musicians wandering around homeless. There are so few	really good	ones as it is. An American MAJOR enters in background and goes to	1	
bring Charley until, in his old age. he started getting into ''	really bad	fights '' with the other pups. While she talks, she soaks in the	1	
oats. Come and smell these good old oats, Mel. These are some	really good	old oats. See? She takes a handful of oats out of the	1	
, of course. We have the special sterilizing machine. It cooks the germs	real good	. '' '' Okay then. '' Nadine agreed to stay even though she	1	
to be ruled are in some degree qualified to look after their own affairs.	Real good	government is not compatible with the conditions of the case. There is but	1	
BIRDIE MAE Honey, you oughtn'ta play with them Porter boys. They're	real bad	. SAL HENRY (Sniffling.) I wasn't doin' nothin'.	0	
. In other words, a bluegrass band, '' he said. '' A	really good	one. ''  #  '' I've got a lot of Wordsworth to read	1	
'm real sorry for your troubles and it looks to me like they did a	real good	match. CASEY (Chuckles.) And yes, I'm reading for	1	
returning late, too talked out to pick up the phone. He had felt	really good	about catching an early plane home. He had thought she would be pleased	0	
come in here are not. But you see a lot of servicemen that are	really good	. '') '' She was strictly Navy? I never seen her leave	0	
' said Jane. Was it good?' asked Agnes eagerly. Was it	really good	?' I thought it was very beautiful,' said Jane. Again	0	
. '' It's not like America got worse. A lot of countries got	really good	. Kim, hello? When was the last time a Korean was dominating	0	
reruns of The Rifleman doing this, '' he explained. '' I'm getting	real good	at twirling. '' Luke shuddered. '' I'll be your escort,	0	
best of the past and merge it with the best of the present. The	real good	of any era has an abiding vitality, a timelessness that makes it enduringly	NA	NA
he buys it for his own reading. But we can not believe that a	really good	. play would fail, in Chicago, or elsewhere, because it had	1	
Ilaverfield exclaimed, '' and when they do get these new music machines to working	really good	-- you've seen them, haven't you, with the music in	0	
's pout worried its way into a frown. '' That may not be a	real good	plan, '' she said. '' I mean, once his party gets	1	
, but the net result is that clothing made of Gore-Tex is usually really,	really good	. Breathability is an equally vague concept. There is no international standard for	0	
father was a farm boy. That summer after you left the crops was	real bad	, a long dry spell, and he used to come with his father in	0	
galaxy like them. That's what I hear, and it's probably a	real good	thing too. The Beautiful Ones will let people come, only they ca	1	
anybody's as good as Louie Armstrong it's just like anything else that's	really good	, it takes a long time to get to know how good it is	0	
he sortTHE WOOL MARKET 131of became a different person. Rudi Tambunga has handled Boyce	real good	. They say Boyce has cut down a lot on his fights in bars	0	
How's the ulcer, Harry? &nbsp; TRADER #2 (drinking) Good.	Real good	. How's the hypertension? &nbsp; TRADER #1 (doing coke) Has	0	
MAE My mama an'daddy liked Hiram,' cause he was educated an' spoke	real good	. (Begins to put on her shoes.) I liked him too	0	
) Mary was standing, her face in the shadow above the lamps, her	really good	brow and eyes diminished by the emphasis upon her protruding upper lip, her	1	
. You take over ten, up to eighteen, nineteen -- you're looking	real good	. Anything you take over twenty and upwards says you're all balls.	0	
devote the leavings of the table to some other object. No person accustomed to	really good	soup, made from fresh meat, can ever be deceived in the taste	1	
still keeping that promise, still taking care of her sister. '' It was	really good	fudge, wasn't it? '' asked Maggie. In the dark,	1	
? I mean if he did somethin' bad. I mean real,	real bad	'' '' He wouldn't do nothin' like that. Y'think th' water	0	
free institutions, with plausibility, to taunt us as hypocrites, forces so many	really good	men amongst ourselves into an open war with the very funda mental principles of	1	
industriously at a movie | camera. '' That should turn out to be a	real good	shot, '' he remarked. Then he turned toward the doughboys who were	1	
percent rise. But growers are worried. '' In Oklahoma farmers are in	real bad	shape, '' says Deputy Secretary of Agriculture John C. White. '' Almost 13,000	1	
this report. / E-mail Mark Fainaru-Wada at **29;10014;TOOLONG   #  Sharmeen Obaid had a	really good	story. What she needed was a really good resume.  #  A native	1	
's touring, it doesn't feel like she's gone, because we're	really good	about communicating. It works. '' It's the old **26;2543;TOOLONG trap,	0	
in the other. The girls shouted. '' That means you'd like a	real good	husband, - - a Tom, or a Dick, or a Harry, ''	1	
rain came and settled it, for just now. That rested me. A	real good	' can't help' is such a comfort. '' '' The Father	1	
' for, '' said Patch. '' And, he still don't sleep	real good	. Like he's fightin' someone in his dreams. '' '' He	0	
She wraps it up with, '' He was a bad guy. A	really bad	guy. You know that. '' Recognizing that it is my turn to speak	1	
Really bad people became adept at hiding their farlies. Inevitably, people who were	really good	at being really bad became master criminals. It was that, or die	0	
testimony. '' I wanted to see Rodney King. He seemed to be doing	real good	. I just hope he gets a fair shake. ''  #  Loyola Law	0	
man out to the Three Star, Bourke? '' '' I never saw a	real good	man the shape you're in, Wyatt. Sober up an' I	1	
constant demand. May Heaven prosper their endeavors, and direct their eloquence to the	real good	of their country! I am unfortunate enough to differ rather say fortunate from	NA	
he had occasionally heard the heavy, droning Apache music, less exciting than a	really good	hymn. He swelled with the superiority of his own people. Some of	1	
Mister. I see you over there. '' And I scream because it's	real good	to be seen. And she pulls off her smock and goes, ''	0	
they had backed off, but they didn't run. That was good,	real good	. I went down the ladder again. The bags were made out of	0	
'' was the reply, after a moment's hesitation. '' It is only	really good	singers who can afford to do that. '' In spite of her dimpled	1	
through her rumpled hair. He fancied she expected him to speak. '' A	really good	talk, '' she went on, smiling with what seemed to Archer an	1	
pretty un? promising in this respect? were intent on making the most of	really good	things. In the Rijksmuseum at Amsterdam, for instance, I noticed some	1	
. I don't want to worry about cheating on you. We have had	really good	moments. I'm not looking for it to happen all the time --	1	
, when he cared about me, he cared about me. And he was	really good	in bed. She glances away from Sid toward the bed. &nbsp; BETH	0	
are drawing the noose tight about our necks. Still, things aren't	really bad	yet. That time will come, that time will surely come -- I knew	0	
weren't suitable for walking, and in any case she wanted to have a	real good	think about the problem that confronted her. She recognized it easily, She	1	
bee hives and I'll make real lemonade. Real lemonade. Aunt Arla's	Really Good	Real Lemonade and I'll sell lemonade for twenty-five cents a glass. And	1	
old man who goes with us will drive the mules. What's been	really bad	for my father was living in that dreadful hotel at Independence with everything damp and	0	
wanted her to calm down and do what he wanted. '' This is a	really good	movie. You have to concentrate a little, but it's worth it	1	
it. If you're in the tail of a plane, you've got	real good	visibility. In the daytime you can see anything that's close enough to	1	
I've been after that boy since he left Parchman. I want him	real bad	. You help us get Cobb and I'll help you as much as I	0	
. FRED Even her mother. PEGGY Fred knows the ropes. He's found	really good	places to get your money changed. JOEY What rate of exchange are you	1	
John Daly and I have jammed together a little bit. John thinks he's	really good	, and he's OK. I think I'm OK and I'm	0	
made me his executor, he said, I'd like Pen to have a	really good	Oxford, in the old-fashioned sense. Free from care, free to grow	1	
'' Tino said, and picked up the chain line again. '' That's	real good	of you, Tino. '' '' Para servile, '' Tino said softly	0	
at Mitchell's, if I were you, '' Kaye said. '' The	really good	place is the nursery in East Brook. That's where Jimmy gets his	1	
set his mind at rest by assuring himself that the property he disposed of was	really good	riddance of a negligible asset, so Francis' one recourse was to persuade	1	
that, '' he said slowly. '' I always liked Mallory. You seemed	really good	together too. '' '' That's what I thought, '' said Gib	0	
made a heavy pass, I heard my voice whisper, '' I'm not	real good	at close body work. '' My Shadow woke as I slept.  #	0	
we learned at Huachuca. And just faulty logic, you know? Just	really bad	argument. '' Over and over, Jeff says, the JAG lawyers told them	1	
James J. Corbett, the ads said. Should have seen him jump rope.	Real good	at it. Made Sugar Ray, the original Sugar Ray, look like	0	
said you seemed so tranquil and contented that she supposed you never had had any	really good	offers, or you would be all the time wishing you had taken one	1	
less right. '' '' Why, what's wrong? '' '' Nothing	really bad	, '' Gefty assured her. He added, '' I think. But take	0	
considerably in advance of the more slowly moving ambulance. '' Has Virginia made a	really good	match? '' Mr. Dinsmore asked, addressing his sister Adelaide. '' Good	1	
are on yourself. So let's take the gloves off and give you a	real good	shel-lacking. '' Tompkins glared at him in silence. '' Attaboy, ''	1	
David, '' David Coe went on, '' liked to do really,	really bad	things. '' He chuckled. '' Here's this guy who slept with another	1	
is likely to take. This makes it necessary for the occupational therapist who is	really good	at his job to be a person of unusual capabilities. He must be	0	
'' You know, you should open your own account here. I'd take	real good	care of you. Real good. '' '' I just know you would	1	
And I struck out forty-eight in sixty-two innings. I got along with the Browns	real good	too. They were a fine hunch, even if they were last-placers.	0	
on, speak up. I want suggestions from you, Loretta. You got	real good	taste. '' '' So you're fixing to put Phoebe to work tonight	1	
on our treks and finally visiting us daily in our condo. The boys became	really good	at flirting in Spanish. We invited our favorite comrade and homeboy, Ricardo	0	
way outa here. &nbsp; DUVALFrom the plane? &nbsp; VELDINIYeah, it should look	real good	from above, don't you think? &nbsp; DUVAL (realizing the enormity	0	
While the telephone job was boring, he said, '' the union job was	really good	because you had to pit your wits against the management. '' // After a	0	
it was all dirty, she wouldn't go, and she wanted to	real bad	. '' Billy wiped his eyes. '' That ain't all, either,	0	
on me after Mike kicked off, and then if you want to hear something	real good	, you stick around and listen the day I tell Eff Eff what he	0	
'' On top of your desk? I think I'd better play you something	really good	, Karim. '' So he put on Pink Floyd's Umrnctgumma. While	0	
. get the fuck out of my sight. Cause I've had a	real bad	night. The black man grabs his girlfriend and hurries out of the joint.	1	
Skin red as a redbird, wearing a loincloth, looking wild as a	real bad	dream. No, I reckon if it turned out you was shot dead by	1	
get one of these services to come in and, well, scrub it out	real good	first. They know how to take care of these things. '' Then	0	
he followed me down a few steps to tell me, '' I had a	really good	time. You know, this mornin'. '' I stopped at the	1	
too often they buy several pieces when for the same money they might purchase one	really good	article. Honest silver and semiprecious stones are far more appropriate and better taste	1	
, '' How was he on the trip west? '' '' Bad,	real bad	. He did his share and more, he's that sort of man,	0	
the Democratic Presidential nominee in 1960. And we have tentatively decided that the only	really good	candidates are dead. Among the living, one is too far out in	1	
substantial. John Wesley is one who, after Yale (1915), made	really good	in Wall Street as a leading partner of C. D. Barney &; Co.	0	
it is only the student who dares to take a chance, who has a	real good	time in life. But remember that I say it is even possible for	1	
. They sounded like sh's. '' 1 need to give somebodya message in there	real bad	. '' She pointed one small forefingeracross the gardens toward the house. '' I	0	
a good curve ball hitter... I mean that no one can consistently hit the	really good	breaking stuff. // Slider, which has become a big pitch, is	1	
to the soldier and asked him if he did not know somebody that wanted a	really good	servant. He looked at me and then at Flora, who was standing	1	
brought a kid here, a young girl. Somebody'd beaten her up	real bad	. '' Her face flinched. '' He said he'd just found her on	0	
, and giving kids lots of opportunities to learn to like those things that are	really good	for them, '' Birch says.  #  An underlying problem is eating when	0	
help if they ever needed it. Now, you're gon na feel	really bad	about yelling at me when I tell you where he hangs his hat. ''	0	
British Isles? possess the best taste and the best ability to recognize what is	really good	. The reason for this lies, I think, in the well-known fact	0	
his cheeks. '' Well, that's good to | hear. That's	really good	to hear. Perhaps it's too soon for me to be thinking of	0	
upshot of it would be that we would never have time to read up anything	really good	to say. But we do dine out considerably as it is, not	0	
were getting more and more jealous every Yuletide; the city has been through one	really good	snowfall, in which thousands of people experienced, for a brief hour or	1	
like maybe a good can opener a guy can carry easy. And they pay	real good	, you make what they want and keep your mouth shut. '' He	0	
'' Nev'r thought about it. Just do it. Just get t'know the beast	real good	, then y'can guess what they're going t'do. That's all.	0	
this enraging, ridiculous, humiliating pursuit of something at which he would never be	really good	. At thirty-eight, Patrick Shannon was a natural athlete who had a way	0	
. That's the way our friends the anarchists talk. Whenever things get	really bad	they want to set fire to something and to die. It's a very	0	
--  I don't think I could get interested in this bridge game that the	real good	people play -- would you object to a gentleman's game of '' draw	1	
which fact occasions this chapter, if not the whole book. |p154I know of no	really good	restaurant in Cambridge; I think there are none. Therefore, since a	1	
them $2.50 to rent the space and pay for the electricity. '' Business was	real good	and after awhile 1 was making about $30 a week, a lot of	0	
try. If we backed him up for maybe a quarter mile and whipped him	real good	, he just might make it. MAE WEST Let's give it a	0	
'm more into Hemingway, and Woodward and Bernstein. Well, if I'm	really good	, maybe someday it'll be Hemingway, Woodward and Bernstein, and Griffith	0	
#  '' Come in, '' she ordered. Her voice was cold, a	really good	match for her face.  #  Briefly, I considered trying to outrun her	1	
sides, and there was this Confederate colonelwe were followin' and he had this	real good	pistol which he was alwayspolishin', and we all knew about it'	1	
, I'll get better jobs. I might even appear in a couple of	really good	productions of really good plays. But, mainly, you take what you	1	
her relations with the hospital are cordial, mainly because '' '' I'm a	really good	doctor. ''  #  Karen Frye, director of marketing and physician recruitment for	1	
's a fine healthy-lookin' dog, '' Joey said hastily. '' He looked	real good	in his picture in the paper today. '' He paused, his voice	0	
he had a reasonable chance of winning. Says Dole: '' I have a	really good	record in the Senate as far as food stamps, handicapped, or nutrition	1	
in her investigation. '' The discovery crew sailed it, so it was in	really good	shape. '' Briggs '' life before the Mary Celeste offered no clues,	1	
(low, threatening whisper) Now, I heard something that's upset me	real good	. And I want you to tell me it ain't so, Mr.	0	
of her, I can tell you; and I shall make her have a	real good	time. It's quite flattering of Susy to trust her to us,	1	
speaks well for Josephine Duval's character that she never suspected anyone of being	really bad	at heart save herself, and she rarely if ever thought much about that.	0	
still, really, Melanctha, honest, I think perhaps I wasn't	real bad	to you any more than you just needed from me. '' Jeff held Melanctha	0	
jobs are like toupees in that only the bad ones are easily spotted. The	really good	jobs blend and cover so naturally that no one knows. You'll find	1	
Peggy Bond ain't got a pritty shawl. I always wanted to have a	real good	time, an' now I'm havin' it. '' VIII.	1	
. He shook himself roughly inside his suit. '' So what's the	really bad	news? '' he said to Ray. He knew there was more. ''	1	
to school, then we get all nice and neat and go off to our	really good	day job, and we don't mind that all the bosses are still	1	
better jobs. I might even appear in a couple of really good productions of	really good	plays. But, mainly, you take what you can get. ''	1	
that moral support? (as she notices Janine) Looks like I'm getting	real good	at crashing your interviews. (to Janine) Hello. I'm Elizabeth	0	
in the ribs. '' Honey, I'm not married. I'll take	real good	care of you. Better than Mike would -- or could. '' ''	1	
all the fuss about? I laughed. For some reason I was suddenly in	really good	spirits. '' What the hell are you laughing about? '' Frank said	1	
felt it hard that girls should not be helped, not girls that were	really bad	of course, these she condemned and hated in her heart and with her tongue	0	
time that he is much respected by the English officers in his neighbourhood as a	real good	judge of a horse t and a cool, bold, and deadly shot	1	
've got to secure it before dawn, because I need prisoners and information	real bad	. The element of surprise is essential, since we'll be moving up behind	0	
said, pocketing his change. '' You be careful. There's a	really bad	gang out there. We just had another truck driver hit. '' '' Yeah	1	
that sort of work look to you? '' '' First-rate! I'll take	real good	care of the little feller, and do every thing I know to please	1	
But his heart was not in it. He finally decided: '' All the	really good	ideas I ever had came to me while I was milking a cow.	1	
it will tire. // The inept running attack also hinders the efforts of a	really good	set of pass catchers. It is not surprising that Gail Cogdill, who	1	
Edward Oglethorpe, the founder of the Colony of Georgia, was among the few	really good	and great men that history tells us of. We need to keep a	1	
=- BIG HEAD - BUGLER He is a smart lad and He is blowing ATTENTION	real good	on the little short cavalry BUGLE. As he finishes, his eyes fix	0	
at corner and tailback in terms of coverage and tackling ability and he showed some	real good	hips in terms of running the football, '' Koch said. '' He	1	
his own ambition, and the blindness of the great, in never desiring a	real good	. The most gloomy reflections pursued him to his miserable abode. He saw	NA	
He must sacrifice everything to this, his ambitions, his passionate desires to do	real good	in the world on a large scale, his mental freedom, yes,	NA	
Now be good and don't try to tear the screening -- if you're	real good	and do your business on the paper like you're supposed to, I	1	
the trees were to be tapped, the sugar made, and if it were	really good	when made? To all my queries, John responded, '' Och!	0	
hung there almost for the longest time. And I turned and had me a	real good	look in the dark. And for one crazy moment I could've sworn	1	
have your own sun on fire. Take real good care of me. Take	real good	care of me, Narmer. MUSIC: A LOVE SUPREME BY JOHN COLTRANE	1	
sport or his prayer and he is likely to say, '' I had a	really good	day, but I can do better. I'm going to really practice	1	
pulse seem all right, and that bump on his head doesn't look	really bad	, but he hasn't moved at all. Can you think of anything else	0	
bring a big, friendly smile. If the captain of waiters gives you a	really good	table, be nice and give him a dollar. 7. The biggest	1	
WAS N'T DOIN' NOTHIN'! (Defiant.) An' it felt	real good	! HIRAM YOU DAMN FILTHY DIRTY WHORE CHILE! Git outta my house!	0	
traveling man you must make a business of noticing things and thinking about them.	Real good	hoss sense is a rare thing. Then, this mo'nin', when	1	
open your own account here. I'd take real good care of you.	Real good	. '' '' I just know you would, '' Tracy said softly.	0	
you feeling? &nbsp; GRANDFATHERGood and bad. My feets have been swelling up	real bad	so I got to keep them up, or so they say. &nbsp; VLADIMIRYou	0	
learning to deal with the loss.  #  '' Every time I started feeling	really bad	about it or really sad and hurt over it, a few seconds into that	0	
little bitch. Sooner or later, something was going to give. His	really bad	side was starting to peek out and that was something he feared more than failure	1	
Oh, not that bad! '' she yelled.  #  '' No,	really bad	! ''  #  They laughed frantically. Now all I could think of was how	0	
Phelan. Anything for a laugh. &nbsp; PHELANWell, maybe if he behaves himself	real good	you'll see him sooner. &nbsp; JOHNNIEHe -- he wants to take me	0	
. But beyond and above this there was something frank and generous, something of	real good	in her nature. Young as she was, she saw in Tite's	NA	
what I find in France! Here the theatre is living; you see something	really good	, and good throughout. Not one touch of that stage strut and vulgar	0	
allegiance is cor rupt. As a matter of fact there are very few	really bad	men in public life, though there are altogether too many bad methods and deluded	1	
taken to the hospital at once? Then we can come over and have a	really good	visit. I can understand how hard it would be to have a sick	1	
like to have this horse when he comes back home. He'd make a	real good	lead pony. '' // Over the next three years -- until that fateful fall	1	
enough! Ronald Lee and Ryan Edwards maintain that '' the chance for a	really bad	outcome is far higher than commonly expected. '' As a result, even most	1	
or meal, or finely crushed cake, mixed with hay-chaff; and, if	really good	, creditable beasts are wanted -- such as will realise L25 a-head from the	1	
the narrow roadway. '' Its just that... well, he s	really good	. Even I can see that much. '' Blaine Craig nodded, apparently	0	
